task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_ratio_mixture,math,baseline,1,6,0.1667,ratio,53,158,0,53,48.034,106,"- Setup: Ratio = 2 parts concentrate : 5 parts water; Total volume = 42 L; Let x be part size; Concentrate = 2x, Water = 5x; Equation: 2x + 5x = 42; Solve for x, then find volumes."
compute_ratio_mixture,math,primitive_cache,0,6,0.0,,301,348,244,57,41.144,48,"I divide total parts into two groups (concentrate = 2/7, water = 5/7), multiply each fraction by the total volume to get individual volumes, then state which group has more and the"
compute_average_speed,math,baseline,3,6,0.5,"total_distance,answer,units",65,196,61,4,19.148,132,- Time for first leg = Distance / Speed = 150 km ÷ 60 km/h = 2.5 h - Time for second leg = 90 km ÷ 45 km/h = 2 h - Total distance = 150 + 90 = 240 km - Total time = 2.5 + 2 = 4.5 h
compute_average_speed,math,primitive_cache,6,6,1.0,"first_time,second_time,total_distance,total_time,answer,units",313,389,244,69,57.54,77,- Distance = 150 + 90 = 240 km - Time = (150 / 60) + (90 / 45) = 2.5 + 2 = 4.5 hours - Average speed = 240 / 4.5 ≈ 53.33 km/h
compute_linear_equation,math,baseline,4,5,0.8,"expand,combine,add_12,divide",45,247,41,4,18.939,203,- Step 1: Distribute the 3 across (x - 4): 3·x - 3·4 → 3x - 12. - Step 2: Add the remaining term 2x to combine like terms on the left side: 3x + 2x - 12 → 5x - 12. - Step 3: Set up
compute_linear_equation,math,primitive_cache,5,5,1.0,"expand,combine,add_12,divide,answer",293,391,244,49,43.417,99,"I expand the parentheses to get 3x - 12 + 2x = 46, combine like terms to make 5x - 12 = 46, add 12 to both sides to give 5x = 58, divide by 5 to find x = 11.6, then check that 3(11"
compute_probability_without_replacement,math,baseline,1,6,0.1667,decimal,51,145,47,4,19.953,95,"- Setup: P(both red) = (number of ways to draw two reds)/(total number of ways to draw any two balls). - Arithmetic: numerator = C(5,2)=10; denominator = C(8,2)=28. - Units: each t"
compute_probability_without_replacement,math,primitive_cache,1,6,0.1667,decimal,299,398,244,55,43.403,100,"Probability = (number of ways to pick two reds) / (total number of ways to pick any two balls). Number of ways to pick two reds from 5 reds = C(5,2) = 10. Total ways to pick any tw"
compute_ticket_table,math,baseline,2,5,0.4,"team_a,team_b",75,294,71,4,20.213,220,- Setup: - Team A: Start = 12; Close = −7; Receive = +5 → Final = 12 − 7 + 5 = ? - Team B: Start = 20; Close = −13; Receive = +4 → Final = 20 − 13 + 4 = ? - Arithmetic: - Team A: 1
compute_ticket_table,math,primitive_cache,2,5,0.4,"team_a,compare",323,542,244,79,63.144,220,"I remember that ticket tables become reliable when each team is solved separately, totals are added exactly once, and teams are compared directly without hidden steps. For printer "
compute_subscription_total,math,baseline,0,5,0.0,,59,65,55,4,20.678,7,$23.87
compute_subscription_total,math,primitive_cache,0,5,0.0,,307,526,244,63,46.434,220,"I remember that subscriptions become reliable when monthly charges stay visible and task quantities do not change. For printer rates, I multiply monthly charge by months, add posit"
compute_tiered_pricing,math,baseline,5,5,1.0,"first_tier,extra_units,second_tier,fixed_fee,answer",72,278,0,72,71.108,207,- Setup: - First 100 units at $0.12/unit → cost = 100 × 0.12 - Units from 101 to 135 (35 units) at $0.18/unit → cost = 35 × 0.18 - Fixed fee = $6 - Arithmetic: - Cost of first 100 
compute_tiered_pricing,math,primitive_cache,0,5,0.0,,320,539,244,76,64.051,220,"I remember that utility bills become reliable when intermediate values stay visible and task quantities do not change. For printer rates, I divide pages by printers and by minutes "
