geometry,pass_rate,clean_pass_rate,mean_score,classified_rate,packet_rate,gate_open_rate,repair_rate,echo_rate,overdrive_rate,cascade_rate,avg_missing,avg_distractors,train_complexity,dataset_profile,profile_description
gated_lora,0.564,0.564,0.7696,0.6125,0.607,0.7562,0.646,0.0,0.0,0.1778,0.9753,0.406,0.36000000000000004,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
gated_plus_web,0.5471,0.5471,0.7676,0.6246,0.6005,0.597,0.7183,0.0,0.0,0.1911,0.94,0.5714,0.58,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
gated_lora,0.5297,0.5297,0.75,0.5925,0.5989,0.7362,0.6187,0.0,0.0,0.1932,1.0378,0.4526,0.38,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
gated_plus_fourier,0.5232,0.5232,0.7436,0.5942,0.6751,0.6728,0.5829,0.0,0.0,0.1776,1.084,0.5189,0.62,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
gated_plus_fourier,0.4809,0.4776,0.7183,0.5809,0.6795,0.6002,0.5867,0.0128,0.0,0.1973,1.1602,0.5923,0.58,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
gated_lora,0.3616,0.3616,0.6429,0.5231,0.5391,0.6777,0.5952,0.0,0.0,0.2873,1.4291,0.4426,0.32,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
gated_lora,0.3264,0.3264,0.6191,0.5089,0.5433,0.6055,0.5981,0.0,0.0,0.3054,1.5003,0.5184,0.28,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
standard_lora_additive,0.2646,0.244,0.5762,0.5266,0.6506,0.3199,0.5142,0.1636,0.0,0.3652,1.526,0.7336,0.26,gate_web_carrier_minimal,"Compact dataset focused only on gate, web, carrier, and stop behavior with less payload repetition."
standard_lora_additive,0.2375,0.1979,0.5468,0.508,0.6444,0.318,0.4975,0.2729,0.0872,0.3677,1.5272,0.8088,0.36,hybrid_overstuffed_v0_2,Too many hybrid examples and repeated primitive labels; strong signal but more clutter.
standard_lora_additive,0.2225,0.194,0.5328,0.5034,0.6379,0.3024,0.4766,0.2301,0.0442,0.391,1.6254,0.7711,0.28,hybrid_tagged_v0_2,"Current dataset plus examples that explicitly teach gate, web association, carrier rhythm, and clean stop."
standard_lora_additive,0.1251,0.1129,0.4202,0.4418,0.5784,0.2427,0.3633,0.2092,0.0509,0.4795,2.065,0.7333,0.22,v0_1_plus_clean_stop,Current dataset plus explicit clean-stop and no-continuation examples.
standard_lora_additive,0.0857,0.0715,0.3615,0.42,0.5821,0.0009,0.3514,0.3245,0.1086,0.5254,2.1991,0.7825,0.18,current_structural_v0_1,"The dataset just trained: structural primitive payload, light implicit gain clamp, weak explicit stop behavior."
